n_clusters,cluster,bathAverage,bathScore,chargeScore,description,distance,distanceScore,equipmentAverage,equipmentScore,hotelMiddleCharge,id,locationAverage,locationScore,mealAverage,mealScore,name,nearestStation,roomAverage,roomScore,serviceAverage,serviceScore,url
1,0,4.8,0.95,0.375840215095,2014年8月、創業116年の旅館が全室和モダンなスイートルームのホテルとしてリニューアルオープン！,0.357,0.852839506173,5.0,1.0,17901.0,146993,4.2,0.8,4.25,0.8125,ホテル龍名館お茶の水本店,御茶ノ水,5.0,1.0,5.0,1.0,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=146993
1,0,4.46,0.865,0.786863837142,美人の湯、熱の湯特徴を持った蒲田黒湯温泉で癒しののひととき。全室LANポート設置。羽田送客プランも有,0.174,0.943209876543,3.74,0.685,7200.0,568,4.78,0.945,3.27,0.5675,ホテル末広＜東京都＞,蒲田,3.65,0.6625,4.19,0.7975,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=568
1,0,4.03,0.7575,0.429652391012,贅沢を感じる東京夜景を満喫、東京駅上空の天空ホテル【12時チェックアウト】ワンランク上の東京ステイ,0.333,0.864691358025,4.41,0.8525,16500.0,56634,4.76,0.94,4.06,0.765,ホテルメトロポリタン丸の内,東京,4.38,0.845,4.32,0.83,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=56634
1,0,4.56,0.89,0.602458229307,◆阪急阪神第一ホテルグループ◆　エレガンス＆エクセレンス。ヨーロピアンスタイル。,0.288,0.886913580247,4.18,0.795,12001.0,2876,4.82,0.955,3.43,0.6075,第一ホテル東京,新橋,4.27,0.8175,4.36,0.84,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=2876
1,0,3.44,0.61,0.839446898406,JR新橋駅徒歩２分。銀座・汐留各方面アクセス抜群！清潔さ・安らぎ・合理化による低価格をご提供します。,0.189,0.935802469136,3.5,0.625,5831.0,28484,4.44,0.86,3.42,0.605,チェックイン新橋,新橋,3.27,0.5675,3.55,0.6375,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=28484
1,0,3.33,0.5825,0.793777607067,お嬢様御一人でも御安心なお宿,0.337,0.862716049383,3.23,0.5575,7020.0,31557,4.71,0.9275,5.0,1.0,景雲荘,新宿,4.17,0.7925,3.9,0.725,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=31557
1,0,3.91,0.7275,0.782024198195,JR山手線大塚駅南口より徒歩１分！駐車場完備！車派も電車派も◎ワンランク上のウェディングスホテル！,0.059,1.0,4.15,0.7875,7326.0,839,4.7,0.925,3.94,0.735,ホテル　ベルクラシック東京,大塚（東京）,4.38,0.845,4.26,0.815,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=839
1,0,3.21,0.5525,0.852160553102,全室有線ＬＡＮインターネット接続無料。全室ビデオ・ＤＶＤデッキを完備。２４時間フロント対応。,0.315,0.873580246914,3.89,0.7225,5500.0,39495,4.0,0.75,3.64,0.66,ミヤビイン蒲田,蒲田,3.76,0.69,4.06,0.765,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=39495
1,0,4.27,0.8175,0.952026118686,女性に安心してお泊り頂けるホテルです。駅から徒歩3分、無線ＬＡＮ接続ご利用いただけます。,0.35,0.856296296296,3.99,0.7475,2900.0,18248,4.63,0.9075,4.67,0.9175,ビジネスホテル福千,南千住,4.09,0.7725,4.45,0.8625,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18248
1,0,3.88,0.72,0.283887075091,都庁、新宿中央公園に隣接。　新宿駅より送迎バスあり。,0.852,0.608395061728,4.12,0.78,20295.0,1357,4.34,0.835,4.04,0.76,ハイアット　リージェンシー　東京,新宿,4.23,0.8075,4.21,0.8025,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1357
1,0,3.08,0.52,0.683272517765,全客室をリニューアル。デザイン、機能を一新し、より快適で機能的な空間に生まれ変わりました。,0.491,0.786666666667,3.43,0.6075,9897.0,1872,4.79,0.9475,3.43,0.6075,新宿プリンスホテル,新宿,3.59,0.6475,3.64,0.66,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=1872
1,0,3.48,0.62,0.889994238525,クチコミ件数が物語るコストパフォーマンス！蒲田駅西口徒歩約３分！羽田空港へのアクセスも便利,0.295,0.883456790123,3.74,0.685,4515.0,68688,4.23,0.8075,4.16,0.79,スーパーホテル東京・ＪＲ蒲田西口,蒲田,4.21,0.8025,4.12,0.78,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=68688
1,0,3.51,0.6275,0.779181870559,東京駅より１駅＆秋葉原までも徒歩10分♪コンビニ近隣にあります！サンキュープランがおススメです★,0.16,0.95012345679,3.71,0.6775,7400.0,18270,4.17,0.7925,3.58,0.645,京王プレッソイン神田,神田（東京）,4.06,0.765,3.97,0.7425,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=18270
1,0,3.29,0.5725,0.853696946418,ＪＲ上野駅の浅草口を出て左へ徒歩１分。ビジネス・観光等に最適です。全室ウォッシュレット完備。,0.132,0.963950617284,3.72,0.68,5460.0,40799,4.82,0.955,4.0,0.75,ホテル　ニューウエノ,上野,3.49,0.6225,3.94,0.735,http://img.travel.rakuten.co.jp/image/tr/api/hs/dQ4dX/?f_no=40799
